Nacionalna šifra zdravila;Ime zdravila;ATC;Naziv ATC;Lista;Omejitev predpisovanja in izdajanja v breme javnih sredstev;Datum prièetka veljavnosti
000027;Amaryl 1 mg tbl. 30x;A10BB12;glimepirid;P100;;29.3.2011
000060;DuoTrav 40 mcg/ml + 5 mg/ml kapljice za oko razt. 2,5 ml;S01ED51;timolol, kombinacije;PC70;;27.5.2016
000108;Amaryl 2 mg tbl. 30x;A10BB12;glimepirid;P100;;29.3.2011
000132;Arimidex 1 mg film.obl.tbl. 28x;L02BG03;anastrozol;PC100;;27.5.2016
000140;Amaryl 3 mg tbl. 30x;A10BB12;glimepirid;P100;;29.3.2011
000191;ANALGIN 500 mg tbl. 10x;N02BB02;natrjev metamizolat;V;;10.5.2004
000280;PROREKTAL 3,3 g/5 ml peroral.razt. 500 ml;A06AD11;laktuloza;VC;;27.5.2016
000302;EPIVIR 150 mg film.obl.tbl. 60x;J05AF05;lamivudin;P100;;22.5.2009
000639;Amoksiklav 875 mg/125 mg film.obl.tbl. 10x;J01CR02;amoksicilin in zaviralci laktamaz beta;PC70*;Zdravila ni dovoljeno predpisovati za okužbe, povzroèene s piogenim streptokokom (angina, skarlatina, šen, impetigo).;27.5.2016
000663;DUROGESIC 12 mcg/h transdermal.obliž 5x;N02AB03;fentanil;PC70;;27.5.2016
000680;DUROGESIC 75 mcg/h transdermal.obliž 5x;N02AB03;fentanil;PC70;;27.5.2016
000728;INEGY 10 mg/10 mg tablete 30x;C10BA02;simvastatin in ezetimib;VC*;Le za osebe, ki izpolnjujejo omejitev predpisovanja za statin na podroèju sekundarne preventive srènožilnih bolezni in za osebe z družinsko hiperholesterolemijo, kadar  z  najuèinkovitejšim statinom ni dosežena ciljna vrednost holesterola.;27.5.2016
000809;ARICEPT 10 mg film.obl.tbl. 28x;N06DA02;donepezil;VC*;Samo na osnovi izvida nevrologa ali psihiatra s priporoèilom za predpis zdravila. podrobnosti v Zdravniškem vestniku, februar 2000.69:107-8.;27.5.2016
000850;INEGY 10 mg/20 mg tablete 30x;C10BA02;simvastatin in ezetimib;VC*;Le za osebe, ki izpolnjujejo omejitev predpisovanja za statin na podroèju sekundarne preventive srènožilnih bolezni in za osebe z družinsko hiperholesterolemijo, kadar  z  najuèinkovitejšim statinom ni dosežena ciljna vrednost holesterola.;27.5.2016
000876;ARICEPT 5 mg film.obl.tbl. 28x;N06DA02;donepezil;VC*;Samo na osnovi izvida nevrologa ali psihiatra s priporoèilom za predpis zdravila. podrobnosti v Zdravniškem vestniku, februar 2000.69:107-8.;27.5.2016
000906;Amoksiklav 500 mg/125 mg film.obl.tbl. 10x;J01CR02;amoksicilin in zaviralci laktamaz beta;PC70*;Zdravila ni dovoljeno predpisovati za okužbe, povzroèene s piogenim streptokokom (angina, skarlatina, šen, impetigo).;27.5.2016
000922;Oronazol 20 mg/g krema 30 g;D01AC08;ketokonazol;V;;3.8.1996
000990;INEGY 10 mg/40 mg tbl. 30x;C10BA02;simvastatin in ezetimib;VC*;Le za osebe, ki izpolnjujejo omejitev predpisovanja za statin na podroèju sekundarne preventive srènožilnih bolezni in za osebe z družinsko hiperholesterolemijo, kadar  z  najuèinkovitejšim statinom ni dosežena ciljna vrednost holesterola.;27.5.2016
001023;Diflazon 150 mg trde kaps. 1x;J02AC01;flukonazol;PC70;;27.5.2016
001139;Macropen 35 mg/ml zrnca za peroral.susp. 115 ml;J01FA11;miokamicin;P70*;Ni antibiotik izbire za zdravljenje akutnega vnetja srednjega ušesa, vnetja obnosnih votlin, streptokoknega tonzilofaringitisa, za vnetje kože (npr. akne) in podkožja. zanje ga je mogoèe predpisati le v primeru preobèutljivosti za antibiotik izbire, kadar je indicirano zdravljenje z antibiotikom.;1.6.2012
001163;Enap 5 mg tbl. 20x;C09AA02;enalapril;PC70;;27.5.2016
001252;Dormicum 7,5 mg film.obl.tbl. 10x;N05CD08;midazolam;V;;19.12.1997
001295;Glucotrol XL 10 mg tbl.s podaljš.sprošè. 30x;A10BB07;glipizid;V;;16.7.1999
001317;Diflazon 50 mg trde kaps. 7x;J02AC01;flukonazol;PC70;;27.5.2016
001341;Diflazon 100 mg trde kaps. 28x;J02AC01;flukonazol;PC70;;27.5.2016
001384;Aspirin protect 100 mg gastrorezist.tbl. 30x;B01AC06;acetilsalicilna kislina;PC70;;27.5.2016
